Age,Relationship Categories,relationship_other,Care giving experience,sole caregiver or not,hours spent for care_weekly,hours works at job,living situation,living situation_other,fund_ All the care they receive is free or donated,fund_family contributions,"fund_pension, savings, or retirement fund","fund_medicare, medicaid, SSDI, or VA benefits",fund_medical insurance,fund_long-term care insurance,fund_other,received_federal state local fund,"
lacking any support",training_support,access_support,group_support,counselling_support,respite care_support,loved one physician_support,financial_support,employer accommodation_support,support_other,unmet caregiver need_ none,unmet caregiver need_ employer accommodation,unmet caregiver need_training,unmet caregiver need_access,unmet caregiver need_groups,unmet caregiver need_counseling,unmet caregiver need_respite care,unmet caregiver need_loved one physician,unmet caregiver need_financial,unmet caregiver need_other,unmet caregiver need_none of the above,difficulties_obligation,difficulties_physical demands,difficulties_emotional stress,difficulties_life balance,difficulties_boundaries of commit to caregiving,Financial strain,difficulties_loss of sleep,difficulties_help needed not requested,difficulties_depression,difficulties_other,experience anxiety or depression,struggling with restful sleep,"
fluctuating appetite patterns","
difficulty connecting socially","
lost joy in activities",constantly feeling overwhelmed,mental state self description,feel trapped,losing temper,health issues hinder care,constant worry when away,fear of not doing enough,work_hours,Occupations,Name,Bio,Behavior 1,Behavior 2,Behavior 3,Behavior 4,Behavior 5,Core Needs 1,Core Needs 2,Core Needs 3,Core Needs 4,Core Needs 5
60 - 69,Parent,,3 - 5 years,No,10,40,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,Long-term care insurance,,No,,,Help in getting access to services,,,,,,Accommodation from my employer,,,,,,,,,,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,I need more help but don鈥檛 want to ask,,,Neutral,Disagree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Good,Agree,,Strongly agree,Neutral,Strongly agree,40,Full-time employed,,,,,,,,,,,,
90+,Other family member,,1 - 2 years,No,4,40,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,Long-term care insurance,,No,,,,,,,Support from my loved one鈥檚 physicians,,,,,,,,,Individual counseling to help cope with giving care,,,,,,,Physical demands,Emotional stress,,,Financial strain,Loss of sleep,,,,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Average,Agree,Disagree,Agree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,Yes,6,30,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Agree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Good,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,30,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,No,8,40,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,"Classes about giving care, such as giving medications",,,,,,,,,,,,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Excellent,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Friend/Neighbor,,Over 5 years,Yes,30,32,"In their home or apartment, alone",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,,Financial support,,,,,,,,,,Support from my loved one鈥檚 physicians,,,,,,,,Setting boundaries with how much time I commit to caregiving,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Excellent,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,32,Part-time employed,,,,,,,,,,,,
80 - 89,Other family member,,3 - 5 years,No,20,40,"They live with me, or another caregiver",,,Family contributions,,,Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,,Physical demands,Emotional stress,,,,,,,,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Average,Agree,Disagree,Disagree,Agree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,Over 5 years,No,10,40,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,,,,,,,Accommodation from my employer,,,,,Help in getting access to services,Support groups,,,,,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,,,,,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Good,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,Over 5 years,No,5,35,"In their home or apartment, alone",,,,,,Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,,,,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Average,Disagree,Disagree,Neutral,Neutral,Neutral,35,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,No,25,40,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,,,Accommodation from my employer,,,Accommodation from my employer,,,,,Respite care (short-term or long-term breaks for people who provide care),Support from my loved one鈥檚 physicians,,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Excellent,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,3 - 5 years,No,15,25,"They live with me, or another caregiver",,,Family contributions,,,Medical insurance,,,Yes,,,Help in getting access to services,Support groups,,,,,,,,,,Help in getting access to services,,,,Support from my loved one鈥檚 physicians,Financial support,,,,,,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,I need more help but don鈥檛 want to ask,,,Neutral,Neutral,Disagree,Agree,Agree,Agree,Average,Agree,Neutral,Neutral,Disagree,Disagree,25,Part-time employed,,,,,,,,,,,,
20 - 29,Parent,,1 - 2 years,Yes,20,15,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,,,Financial strain,,I need more help but don鈥檛 want to ask,Depression,,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Poor,Agree,Agree,Agree,Agree,Agree,15,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,No,1,35,"In their home or apartment, alone",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,,,,,Support from my loved one鈥檚 physicians,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,,Setting boundaries with how much time I commit to caregiving,Financial strain,,I need more help but don鈥檛 want to ask,Depression,,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Good,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,35,Part-time employed,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,Yes,30,45,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,"Classes about giving care, such as giving medications",Help in getting access to services,,,,Support from my loved one鈥檚 physicians,,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,I need more help but don鈥檛 want to ask,,,Disagree,Strongly agree,Neutral,Agree,Disagree,Agree,Average,Neutral,Disagree,Disagree,Neutral,Agree,45,Full-time employed,,,,,,,,,,,,
80 - 89,Other (please specify),Aunt,1 - 2 years,No,2,0,"In their home or apartment, alone",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,,,,Shared responsibility with other family members (rotation),,,,Help in getting access to services,,Individual counseling to help cope with giving care,,,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,,,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Excellent,Disagree,Neutral,Strongly disagree,Neutral,Agree,0,Retired,,,,,,,,,,,,
60 - 69,Parent,,Less than a year,No,6,0,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,,,Emotional stress,,,Financial strain,,,,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Good,Disagree,Disagree,Disagree,Disagree,Disagree,0,Retired,,,,,,,,,,,,
60 - 69,Parent,,3 - 5 years,No,15,40,"In a home or apartment, with family or a roommate",,All the care they receive is free or donated,,,,,,,No,,,,,,,,,Accommodation from my employer,,,,,Help in getting access to services,,Individual counseling to help cope with giving care,,,Financial support,,,,,,,,Financial strain,,,Depression,,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Good,Disagree,Strongly disagree,Disagree,Disagree,Disagree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,Yes,10,40,"In their home or apartment, alone",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,,,,,,,,None of the above,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Good,Disagree,Disagree,Disagree,Disagree,Disagree,40,Full-time employed,,,,,,,,,,,,
90+,Parent,,Over 5 years,No,15,40,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Agree,Agree,Neutral,Agree,Agree,Agree,Average,Agree,Agree,Agree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Parent,,Less than a year,No,5,40,"In a home or apartment, with family or a roommate",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,Yes,,,,,,Respite care (short-term or long-term breaks for people who provide care),Support from my loved one鈥檚 physicians,,,,,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Good,Disagree,Agree,Disagree,Disagree,Agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,Over 5 years,No,4,40,"In a home or apartment, with family or a roommate",,,,,,Medical insurance,,,No,,,Help in getting access to services,,,,,,,,,,,Help in getting access to services,Support groups,,,,Financial support,,,,,,,,,,,Depression,,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Good,Disagree,Disagree,Neutral,Disagree,Neutral,40,Full-time employed,,,,,,,,,,,,
70 - 79,Other family member,,Over 5 years,No,10,40,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,,,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Average,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,Over 5 years,No,5,40,In senior housing or a senior care community,,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,,,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Good,Disagree,Disagree,Strongly disagree,Disagree,Disagree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,No,2,0,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,I feel obligated to help because no one else will,,,,,,,,,,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Excellent,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,0,Retired,,,,,,,,,,,,
90+,Parent,,Over 5 years,No,22,40,"In a home or apartment, with family or a roommate",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,I need more help but don鈥檛 want to ask,,,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Below average,Agree,Agree,Agree,Agree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Spouse/Partner,,Over 5 years,No,20,35,"In a home or apartment, with family or a roommate",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,Support groups,Individual counseling to help cope with giving care,,,,,,,,,,,Individual counseling to help cope with giving care,Respite care (short-term or long-term breaks for people who provide care),,,,,,,Emotional stress,,,,Loss of sleep,,,,Disagree,Strongly agree,Agree,Disagree,Agree,Agree,Good,Neutral,Disagree,Disagree,Neutral,Disagree,35,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,Yes,4,46,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,Individual counseling to help cope with giving care,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Poor,Strongly agree,Strongly agree,Agree,Agree,Agree,46,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,Over 5 years,Yes,20,25,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,,Financial support,,,,Accommodation from my employer,,,,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,Depression,,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Below average,Strongly agree,Strongly agree,Agree,Agree,Agree,25,Part-time employed,,,,,,,,,,,,
60 - 69,Parent,,3 - 5 years,Yes,50,40,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,"Classes about giving care, such as giving medications",,,,,,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,,,Financial strain,,,Depression,,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Below average,Agree,Strongly agree,Disagree,Agree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,Yes,8,25,"In their home or apartment, alone",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,"Classes about giving care, such as giving medications",Help in getting access to services,,,,,,,,,Accommodation from my employer,,,,Individual counseling to help cope with giving care,,,,,,,,,,,Financial strain,Loss of sleep,,Depression,,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Below average,Agree,Agree,Agree,Strongly agree,Agree,25,Part-time employed,,,,,,,,,,,,
80 - 89,Parent,,1 - 2 years,Yes,15,40,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,,,,,,I feel obligated to help because no one else will,,,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,,,,,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Good,Agree,Agree,Strongly disagree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,No,6,40,Nursing home or long-term care facility,,,Family contributions,,,,Long-term care insurance,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,,,,,,Financial strain,Loss of sleep,,,,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Average,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Other family member,,Over 5 years,No,18,40,"They live with me, or another caregiver",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,,,,,,,,My mom and brother who live with me also help me out,,,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,,,,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Below average,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,No,10,40,"They live with me, or another caregiver",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,,,Individual counseling to help cope with giving care,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,Accommodation from my employer,"Classes about giving care, such as giving medications",,,,,,,,,,,,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,Depression,,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Good,Neutral,Agree,Agree,Agree,Disagree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,3 - 5 years,No,8,40,"In their home or apartment, alone",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,Support from my loved one鈥檚 physicians,,Accommodation from my employer,,,,,,,,,,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Good,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,Less than a year,No,15,45,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,"Classes about giving care, such as giving medications",,Support groups,,,,,,None of the above,,,,,,,,,,,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Average,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,45,Full-time employed,,,,,,,,,,,,
90+,Parent,,Over 5 years,No,2,5,In senior housing or a senior care community,,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,Long-term care insurance,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,None of the above,,,,,,,,,,,Disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Disagree,Good,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Agree,5,Part-time employed,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,No,2,20,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,None of the above,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Excellent,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,20,Part-time employed,,,,,,,,,,,,
60 - 69,Friend/Neighbor,,3 - 5 years,Yes,15,50,"In their home or apartment, alone",,,,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Good,Disagree,Disagree,Disagree,Disagree,Disagree,50,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,3 - 5 years,No,15,40,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,Help in getting access to services,,,,Support from my loved one鈥檚 physicians,,,,None of the above,,,,,,,,,,,,,,,,,,I need more help but don鈥檛 want to ask,,,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Good,Disagree,Disagree,Disagree,Disagree,Disagree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,No,15,40,In senior housing or a senior care community,,,,"Pension, savings, or retirement fund",,Medical insurance,,,No,,,,,,,,,Accommodation from my employer,,None of the above,,,,,,,,,,,,Physical demands,,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Excellent,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Other family member,,3 - 5 years,No,20,40,"In a home or apartment, with family or a roommate",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,,,,Loss of sleep,,,,Agree,Agree,Disagree,Neutral,Agree,Agree,Below average,Neutral,Agree,Disagree,Agree,Neutral,40,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,3 - 5 years,No,14,40,"In a home or apartment, with family or a roommate",,,,,,Medical insurance,Long-term care insurance,,No,,"Classes about giving care, such as giving medications",Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,,Help in getting access to services,,,,Support from my loved one鈥檚 physicians,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,Depression,,Disagree,Disagree,Strongly disagree,Neutral,Agree,Disagree,Average,Neutral,Strongly disagree,Agree,Disagree,Disagree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,Yes,10,50,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Excellent,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,50,Full-time employed,,,,,,,,,,,,
70 - 79,Friend/Neighbor,,1 - 2 years,No,15,30,In senior housing or a senior care community,,,,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,,,,,,,Loss of sleep,,,,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Neutral,Good,Disagree,Disagree,Disagree,Disagree,Disagree,30,Part-time employed,,,,,,,,,,,,
90+,Parent,,Over 5 years,Yes,14,40,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,I feel obligated to help because no one else will,,,,Setting boundaries with how much time I commit to caregiving,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Good,Disagree,Neutral,Disagree,Agree,Disagree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,No,15,40,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund",,,,,No,,"Classes about giving care, such as giving medications",,Support groups,,,,,,,,,,,,,,,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,Loss of sleep,,Depression,,Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Good,Agree,Strongly agree,Agree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Other family member,,3 - 5 years,No,10,40,"In a home or apartment, with family or a roommate",,,Family contributions,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,,,,,,I need more help but don鈥檛 want to ask,,,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Below average,Neutral,Disagree,Neutral,Neutral,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,Yes,9,39,"In a home or apartment, with family or a roommate",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,Yes,,,,Support groups,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,Accommodation from my employer,,,,"Classes about giving care, such as giving medications",Help in getting access to services,Support groups,,,,,,,,Physical demands,,,,,,I need more help but don鈥檛 want to ask,,,Neutral,Agree,Agree,Disagree,Agree,Disagree,Good,Agree,Agree,Agree,Strongly disagree,Disagree,39,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,No,10,40,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund",,Medical insurance,,,No,,,Help in getting access to services,Support groups,,,,,,,,Accommodation from my employer,,Help in getting access to services,,Individual counseling to help cope with giving care,Respite care (short-term or long-term breaks for people who provide care),,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,I need more help but don鈥檛 want to ask,,,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Good,Neutral,Neutral,Neutral,Neutral,Neutral,40,Full-time employed,,,,,,,,,,,,
70 - 79,Other family member,,3 - 5 years,No,28,56,"They live with me, or another caregiver",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,Help in getting access to services,,,,,,,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,,,Depression,,Agree,Agree,Disagree,Disagree,Agree,Agree,Below average,Neutral,Disagree,Disagree,Disagree,Disagree,56,Full-time employed,,,,,,,,,,,,
